Country Name,Event,Language,Region,annotation_id,no GG detected,region_specification,Theme_Combined,Year,Cumulative CO2,GDP_capita,Annual_Capita_CO2_Consumption,HDI,HDI_Level,LDC,SIDS
Haiti,COP28,translated,North America,596,Yes,,NG,2022,0.004543877,1748.25713229469,0.21119381,0.552,Medium,Yes,Yes
Guatemala,COP24,translated,North America,71,,,S_dom,2018,0.02484391,4485.75213495073,1.0979586,0.629,Medium,No,No
Haiti,COP24,translated,North America,78,,,S_dom,2018,0.004307752,1489.57840624271,0.3096648,0.552,Medium,Yes,Yes
Nicaragua,COP25,en,North America,146,Yes,,S_dom,2019,0.010322406,1905.63832831484,0.78370583,0.669,Medium,No,No
Canada,COP24,translated,North America,11,,,S_int,2018,1.9932128,46548.6384108296,15.581538,0.935,Very High,No,No
Barbados,COP27,en,North America,407,Yes,LDC,S_reg W_dom,2022,0.0039528906,20238.7842420154,4.3772573,0.809,Very High,No,Yes
Canada,COP25,en,North America,120,,,W_dom,2019,1.9836148,46374.1527517191,15.41972,0.935,Very High,No,No
El Salvador,COP26,translated,North America,325,,,W_dom,2021,0.013845151,4664.31122268385,1.1858464,0.674,Medium,No,No
Guatemala,COP28,translated,North America,583,,,W_dom,2022,0.027068513,5473.20856444589,1.0756185,0.629,Medium,No,No
Cuba,COP26,translated,North America,323,,,W_dom AG,2021,0.094660975,9499.57250428248,1.8603169,0.764,High,No,Yes
El Salvador,COP25,translated,North America,175,Yes,,W_int,2019,0.01359646,4280.28840404719,1.202131,0.674,Medium,No,No
Nicaragua,COP26,translated,North America,328,,,W_int,2021,0.010479028,2064.92924633583,0.7859384,0.669,Medium,No,No
Bahamas,COP27,en,North America,405,Yes,,W_int AG,2022,0.009768521,31458.300811739,5.1708703,0.82,Very High,No,Yes
Guatemala,COP26,en,North America,262,,,W_reg,2021,0.026542082,5029.47755484093,1.117814,0.629,Medium,No,No
Micronesia,COP24,en,Oceania,43,,,AG,2018,0.08158197,3623.32933678299,1.2879895,0.634,Medium,No,Yes
Nauru,COP26,en,Oceania,284,Yes,,AG,2021,0.00028257252,11632.6925020419,4.270805,0.696,Medium,No,Yes
Palau,COP26,en,Oceania,290,Yes,,AG,2021,0.000620938,12921.8273205171,12.285263,0.797,High,No,Yes
Tuvalu,COP26,en,Oceania,315,Yes,,AG,2021,1.6703982e-05,5372.76023865042,1.0214623,0.653,Medium,Yes,Yes
Micronesia,COP27,en,Oceania,442,Yes,,AG,2022,,3713.95536246102,1.3243006,0.634,Medium,No,Yes
Marshall Islands,COP24,en,Oceania,41,Yes,,NG,2018,0.00019143704,4771.35920442167,3.185256,0.731,High,No,Yes
Solomon Islands,COP24,en,Oceania,55,Yes,,NG,2018,0.0006047158,2450.4828877801,0.43906265,0.562,Medium,Yes,Yes
Tonga,COP24,en,Oceania,63,Yes,,NG,2018,0.00024976901,4649.61330094975,1.2890736,0.739,High,No,Yes
Marshall Islands,COP25,en,Oceania,141,Yes,,NG,2019,0.00019598368,5186.83384237084,3.2750838,0.731,High,No,Yes
Solomon Islands,COP25,en,Oceania,159,Yes,,NG,2019,0.00060887064,2398.77305007963,0.43425184,0.562,Medium,Yes,Yes
Tonga,COP25,en,Oceania,167,Yes,,NG,2019,0.00025389795,4878.97868604087,1.5359025,0.739,High,No,Yes
Papua New Guinea,COP26,en,Oceania,264,Yes,,NG,2021,0.0107894,2624.60411021362,0.7986589,0.568,Medium,No,Yes
Marshall Islands,COP26,en,Oceania,279,Yes,,NG,2021,0.00020512842,6130.4371365469,3.6348102,0.731,High,No,Yes
Niue,COP26,en,Oceania,287,Yes,,NG,2021,1.6694821e-05,,3.9075115,,,No,Yes
Samoa,COP26,en,Oceania,296,Yes,LDC,NG,2021,0.0004065397,3857.68974206459,1.153368,0.702,High,No,Yes
Kiribati,COP27,en,Oceania,436,Yes,,NG,2022,0.000121182085,1701.97066488808,0.5184742,0.628,Medium,Yes,Yes
New Zealand,COP27,en,Oceania,448,Yes,,NG,2022,0.10994452,48418.5916631992,6.212154,0.939,Very High,No,No
Niue,COP27,en,Oceania,450,Yes,,NG,2022,1.6771415e-05,,3.8729508,,,No,Yes
Palau,COP27,en,Oceania,452,Yes,,NG,2022,0.00062029343,12921.8273205171,12.123921,0.797,High,No,Yes
Solomon Islands,COP27,en,Oceania,461,Yes,,NG,2022,0.0006216531,2205.25180509148,0.41232163,0.562,Medium,Yes,Yes
Tonga,COP27,en,Oceania,469,Yes,,NG,2022,0.00027006882,4425.97149198516,1.7686282,0.739,High,No,Yes
Tuvalu,COP27,en,Oceania,470,Yes,,NG,2022,1.6993597e-05,5221.53279904243,1.0004411,0.653,Medium,Yes,Yes
Vanuatu,COP27,en,Oceania,472,Yes,,NG,2022,0.00029515373,3231.35129995571,0.6363055,0.614,Medium,No,Yes
Australia,COP28,en,Oceania,502,Yes,,NG,2022,1.0877887,65099.8459118981,14.985412,0.946,Very High,No,No
Kiribati,COP28,en,Oceania,535,Yes,,NG,2022,0.000121182085,1701.97066488808,0.5184742,0.628,Medium,Yes,Yes
